,Act1,Act2,counts
390,Verify outbreak signal(s),Initiate medical response,0.0
391,Verify outbreak signal(s),Diagnose cases,0.0
392,Verify outbreak signal(s),Manage potential clashes in national policy,0.0
393,Establish diagnostic protocols,Count cases,1.0
394,Establish diagnostic protocols,"""Establish physical distancing measures in healthcare facilities, treatment centers, and the broader community""",0.0
395,Establish diagnostic protocols,Conduct disease surveillance,1.0
396,Establish diagnostic protocols,Ensure vulnerable populations' access to care and resources,0.0
397,Establish diagnostic protocols,Develop operational communication strategy,0.0
398,Establish diagnostic protocols,Provide technical assistance,0.0
399,Establish diagnostic protocols,Procure and transport medical countermeasures (MCMs),0.0
400,Establish diagnostic protocols,Define and document SOPs for surveillance and epidemic intelligence,0.0
401,Establish diagnostic protocols,Identify and interview initial case(s),0.0
402,Establish diagnostic protocols,Conduct site visits and infection prevention and control (IPC) assessments at healthcare facilities,0.0
403,Establish diagnostic protocols,Modify food production or preparation process,0.0
404,Establish diagnostic protocols,Collect data on population impacts,0.0
405,Establish diagnostic protocols,Conduct surveillance at points of entry,0.0
406,Establish diagnostic protocols,Monitor and manage rumors and misinformation,0.0
407,Establish diagnostic protocols,"""Collect, manage, and share surveillance data across sectors""",0.0
408,Establish diagnostic protocols,Train burial teams,0.0
409,Establish diagnostic protocols,Initiate epidemiological investigation,1.0
410,Establish diagnostic protocols,Issue emergency declaration,0.0
411,Establish diagnostic protocols,National-level notification of potential public health emergency,0.0
412,Establish diagnostic protocols,Determine policy on mandatory screenings and/or testing,1.0
413,Establish diagnostic protocols,Monitor the long-term safety and efficacy of vaccines,0.0
414,Establish diagnostic protocols,Identify travel or border restrictions,0.0
415,Establish diagnostic protocols,Ongoing communication with funders,0.0
416,Establish diagnostic protocols,Procure sampling material,0.0
417,Establish diagnostic protocols,WHO/WOAH notification,0.0
418,Establish diagnostic protocols,Implement vector control measures,0.0
419,Establish diagnostic protocols,Coordinate national response across sectors,0.0
420,Establish diagnostic protocols,Conduct anthropological assessment,0.0
421,Establish diagnostic protocols,Issue request for assistance,0.0
422,Establish diagnostic protocols,Complete descriptive analysis of outbreak,0.0
423,Establish diagnostic protocols,Construct case definitions,0.0
424,Establish diagnostic protocols,Provide clinical care,1.0
425,Establish diagnostic protocols,Collect data to assess magnitude and nature of the event,0.0
426,Establish diagnostic protocols,Collect biological and environmental samples,0.0
427,Establish diagnostic protocols,Update cross-border agreements,0.0
428,Establish diagnostic protocols,Train workforce in clinical care and case management practices,0.0
429,Establish diagnostic protocols,"""Maintain sanitation of facilities, buildings, vehicles and equipment used for animals""",0.0
430,Establish diagnostic protocols,Manage and coordinate data collection and reporting,0.0
431,Establish diagnostic protocols,Create and distribute standard treatment guidance ,0.0
432,Establish diagnostic protocols,Close food premises or prohibit the sale or use of foods,0.0
433,Establish diagnostic protocols,Identify and share relevant legislation and regulations across sectors,0.0
434,Establish diagnostic protocols,Implement infection prevention and control (IPC) measures,0.0
435,Establish diagnostic protocols,Identify infrastructure for isolation and quarantine facilities,0.0
436,Establish diagnostic protocols,Transport samples internationally,1.0
437,Establish diagnostic protocols,Manage emergency operations center (EOC) operations,0.0
438,Establish diagnostic protocols,Create inter-agency coordinating committee,0.0
439,Establish diagnostic protocols,Collect vaccination data,0.0
440,Establish diagnostic protocols,Declare outbreak nationally,0.0
441,Establish diagnostic protocols,Establish sample collection and transport protocols,0.0
442,Establish diagnostic protocols,Coordinate response with international partners,0.0
443,Establish diagnostic protocols,Ensure power is available for humanitarian response activities,0.0
444,Establish diagnostic protocols,Remove implicated foods from market,0.0
445,Establish diagnostic protocols,Train workforce on infection prevention & control (IPC) guidelines,0.0
446,Establish diagnostic protocols,Establish public hotline or call center,0.0
447,Establish diagnostic protocols,Engage the media,0.0
448,Establish diagnostic protocols,Develop plan for the safe disposal of waste,0.0
449,Establish diagnostic protocols,Provide funding and/or financing,0.0
450,Establish diagnostic protocols,Train workforce in epidemic intelligence,0.0
451,Establish diagnostic protocols,Manage clinical data,0.0
452,Establish diagnostic protocols,Train contact tracers,0.0
453,Establish diagnostic protocols,Train community on surveillance and/or contact tracing,0.0
454,Establish diagnostic protocols,Identify reporting lines,0.0
455,Establish diagnostic protocols,Complete public health needs assessment,0.0
456,Establish diagnostic protocols,Document and communicate the results of epidemiological investigation,0.0
457,Establish diagnostic protocols,"""Maintain sanitation of facilities, buildings, vehicles and equipment""",0.0
